Week,Name,Details Link,Address,Date,Type
2,"The Monster Ball ""Halloween Edition""",https://www.eventbrite.com/e/the-monster-ball-halloween-edition-tickets-166552325489?aff=ebdssbdestsearch,"The Spotlight Event Center • Indianapolis, IN","Sat, Oct 30, 7:30 PM",Gaming
2,"Smoke, Cask, and Barrel's Sip & Smoke Day Party: H",https://www.eventbrite.com/e/smoke-cask-and-barrels-sip-smoke-day-party-h-tickets-182890730097?aff=ebdssbdestsearch,"Cosmos Knights Club • Indianapolis, IN","Sun, Oct 31, 4:00 PM",Gaming
2,Develop a Successful Artificial Intelligence Startup Business,https://www.eventbrite.com/e/develop-a-successful-artificial-intelligence-startup-business-tickets-100519705144?aff=ebdssbdestsearch,"Indianapolis • Indianapolis, IN","Sun, Oct 31, 1:00 PM",Gaming
2,Halloween Costume Blowout,https://www.eventbrite.com/e/halloween-costume-blowout-tickets-184242904487?aff=ebdssbdestsearch,"9982 E Washington St • Indianapolis, IN","Sat, Oct 30, 10:00 PM",Gaming
2,Family Halloween Game Night,https://www.eventbrite.com/e/family-halloween-game-night-tickets-170199678821?aff=ebdssbdestsearch,"173 S Van Buren St • Nashville, IN","Sat, Oct 30, 6:15 PM",Gaming
2,6th-12th Grade Coding: Create a Halloween-Themed Roblox Adventure Game,https://www.eventbrite.com/e/6th-12th-grade-coding-create-a-halloween-themed-roblox-adventure-game-registration-166117360497?aff=ebdssbdestsearch,"Innovation Connector • Muncie, IN","Sat, Oct 30, 9:00 AM",Gaming
2,Candlelight Theatre | 2021 Season Tickets,https://www.eventbrite.com/e/candlelight-theatre-2021-season-tickets-tickets-136818031415?aff=ebdssbdestsearch,"Benjamin Harrison Presidential Site • Indianapolis, IN","Thu, Jan 14, 7:00 PM",Gaming
2,MPN Presents: TIME WARP - A Rocky Horror Theme Party,https://www.eventbrite.com/e/mpn-presents-time-warp-a-rocky-horror-theme-party-tickets-192070356607?aff=ebdssbdestsearch,"Fickle Peach • Muncie, IN","Sun, Oct 31, 7:00 PM",Gaming
2,Wondercade Paranormal Pixel Party,https://www.eventbrite.com/e/wondercade-paranormal-pixel-party-tickets-172409751207?aff=ebdssbdestsearch,"Wondercade • Cincinnati, OH","Sat, Oct 30, 9:00 PM",Gaming
2,Tiki Bobs Halloween with Nick Rockwell,https://www.eventbrite.com/e/tiki-bobs-halloween-with-nick-rockwell-tickets-190672445417?aff=ebdssbdestsearch,"Tiki Bob's • Indianapolis, IN","Sat, Oct 30, 8:00 PM",Music
2,Devils Playground,https://www.eventbrite.com/e/devils-playground-tickets-188766905897?aff=ebdssbdestsearch,"Limelight Nightclub • Indianapolis, IN","Sat, Oct 30, 4:00 PM",Music
2,Gospel Sundays featuring FO'SHO and Friends Comedy Show (2pm - 3:30 pm),https://www.eventbrite.com/e/gospel-sundays-featuring-fosho-and-friends-comedy-show-2pm-330-pm-tickets-175662811197?aff=ebdssbdestsearch,"THE MAD GRIDDLE • Indianapolis, IN","Sun, Oct 31, 12:00 PM",Music
2,A Sound Supper w/ Rob Funkhouser & Clockwork Jones,https://www.eventbrite.com/e/a-sound-supper-w-rob-funkhouser-clockwork-jones-tickets-184785206527?aff=ebdssbdestsearch,"State Street Pub • Indianapolis, IN","Sun, Oct 31, 1:00 PM",Music
2,Irvington Halloween Festival's Official After Party,https://www.eventbrite.com/e/irvington-halloween-festivals-official-after-party-tickets-170369024338?aff=ebdssbdestsearch,"Ice House Coffee Roasters • Indianapolis, IN","Sat, Oct 30, 6:00 PM",Music
2,[LIVE] Halloween Bash With The Latest 4Cast,https://www.eventbrite.com/e/live-halloween-bash-with-the-latest-4cast-tickets-190729305487?aff=ebdssbdestsearch,"House of Soul Cafe • Indianapolis, IN","Sat, Oct 30, 10:00 PM",Music
2,Nightmare at The Vogue: A Halloween Day Party,https://www.eventbrite.com/e/nightmare-at-the-vogue-a-halloween-day-party-tickets-189039410967?aff=ebdssbdestsearch,"The Vogue Theatre • Indianapolis, IN","Sun, Oct 31, 3:00 PM",Music
2,"The Good Time Ghouls Presents, Ghouls Just Wanna Have Fun!",https://www.eventbrite.com/e/the-good-time-ghouls-presents-ghouls-just-wanna-have-fun-tickets-185112274797?aff=ebdssbdestsearch,"5632 Bonna Ave • Indianapolis, IN","Sat, Oct 30, 5:00 PM",Music
2,Fabulous 40 Masquerade Birthday Party,https://www.eventbrite.com/e/fabulous-40-masquerade-birthday-party-tickets-175796019627?aff=ebdssbdestsearch,"Epic Ultra Lounge • Indianapolis, IN","Sat, Oct 30, 6:00 PM",Music
2,Ruston Kelly – Shape & Destroy Tour,https://www.eventbrite.com/e/ruston-kelly-shape-destroy-tour-tickets-153055112963?aff=ebdssbdestsearch,"The Vogue Theatre • Indianapolis, IN","Sat, Oct 30, 8:00 PM",Music
